"Age","Year","M_minus_F","MF_ratio"
"45-54",1965,27067,2.48556531284303
"45-54",1966,28791,2.50832984073764
"45-54",1967,28838,2.39468975189824
"45-54",1968,29320,2.3914198936978
"45-54",1969,31288,2.42237577851525
"45-54",1970,32264,2.48115502915117
"45-54",1971,32367,2.46317978391574
"45-54",1972,36740,2.64834671811207
"45-54",1973,38001,2.71229667012121
"45-54",1974,35465,2.60286540721323
"45-54",1975,35271,2.60695248075083
"45-54",1976,35901,2.64381868131868
"45-54",1977,37230,2.70389016018307
"45-54",1978,39316,2.92207284282572
"45-54",1979,41567,3.25503173655943
"45-54",1980,40201,3.11952338271735
"45-54",1981,37872,2.99033003994114
"45-54",1982,35840,2.87163820565043
"45-54",1983,36499,2.81713631385044
"45-54",1984,36865,2.76185241827566
"45-54",1985,36868,2.68685944363104
"45-54",1986,38802,2.6739430543572
"45-54",1987,37184,2.52926177256837
"45-54",1988,36584,2.46078901134004
"45-54",1989,35572,2.35579525098144
"45-54",1990,31918,2.17900413711584
"45-54",1991,31307,2.15827444596544
"45-54",1992,29248,2.03011305603494
"45-54",1993,29403,2.03096072931276
"45-54",1994,30603,2.04876627827279
"45-54",1995,29851,2.00790086774488
"45-54",1996,27975,1.9023611379911
"45-54",1997,27230,1.83228902405477
"45-54",1998,27249,1.80292895659605
"45-54",1999,28069,1.80802003569578
"45-54",2000,25765,1.72924627098016
"45-54",2001,24563,1.70308564231738
"45-54",2002,22521,1.62799063075121
"45-54",2003,22591,1.62679651517674
"45-54",2004,21211,1.59598201742062
"45-54",2005,22507,1.64777665851202
"45-54",2006,22687,1.64100245811319
"45-54",2007,20267,1.55670924323582
"45-54",2008,20597,1.61282356441535
"45-54",2009,19248,1.56310338774794
"45-54",2010,20888,1.64235192816286
"45-54",2011,19924,1.61453995866876
"45-54",2012,18609,1.56007343646542
"45-54",2013,20156,1.60632313569774
"45-54",2014,21230,1.64024849965319
"45-54",2015,20742,1.6035792230467
"45-54",2016,20299,1.58766139771872
"45-54",2017,19337,1.52310231023102
"45-54",2018,20178,1.53719184281987
"45-54",2019,20584,1.5077579614692
"55-64",1947,13876,2.43673638434458
"55-64",1948,14456,2.81448474959207
"55-64",1949,12858,2.36612834679133
"55-64",1950,14651,2.71677993906726
"55-64",1951,16128,2.93381294964029
"55-64",1952,15517,2.560909365255
"55-64",1953,17657,2.79568798942337
"55-64",1954,16659,2.67359855334539
"55-64",1955,18264,2.73661690596178
"55-64",1956,18150,2.61519978641986
"55-64",1957,18657,2.74283045305932
"55-64",1958,20509,2.99232562657859
"55-64",1959,21242,2.92793610455618
"55-64",1960,21772,3.03115962309917
"55-64",1961,23378,3.10612612612613
"55-64",1962,23251,2.87598838147491
"55-64",1963,22905,2.76273664768355
"55-64",1964,21903,2.58682895022821
"55-64",1965,22995,2.60020876826722
"55-64",1966,24472,2.59707629054363
"55-64",1967,25301,2.60285080772886
"55-64",1968,26742,2.6074777590767
"55-64",1969,27746,2.60799768183135
"55-64",1970,27881,2.60623343703192
"55-64",1971,27394,2.5751825656949
"55-64",1972,31200,2.7741385192767
"55-64",1973,31569,2.78396247739602
"55-64",1974,29773,2.752693236004
"55-64",1975,29202,2.72823578149967
"55-64",1976,30599,2.84231440785116
"55-64",1977,29711,2.7007842463793
"55-64",1978,33002,3.04587440332279
"55-64",1979,35055,3.42645531944348
"55-64",1980,32549,3.23060581140351
"55-64",1981,32454,3.23082210613143
"55-64",1982,30429,3.01810584958217
"55-64",1983,30759,3.0500533191149
"55-64",1984,29824,2.85611152601444
"55-64",1985,29730,2.82415020247883
"55-64",1986,30497,2.85122010440694
"55-64",1987,30962,2.90184275184275
"55-64",1988,29732,2.70344906611665
"55-64",1989,30471,2.6658101902471
"55-64",1990,29306,2.63876307107309
"55-64",1991,28560,2.57121637233867
"55-64",1992,27730,2.52782369146006
"55-64",1993,25001,2.32147576510386
"55-64",1994,27738,2.49153089207937
"55-64",1995,27739,2.34069598840019
"55-64",1996,26386,2.21734717416378
"55-64",1997,26738,2.16734337480899
"55-64",1998,28456,2.233516840782
"55-64",1999,27003,2.10041158971433
"55-64",2000,25709,2.02064393187502
"55-64",2001,25786,1.99949610450017
"55-64",2002,24386,1.89290029658379
"55-64",2003,25844,1.91060921038723
"55-64",2004,25081,1.88867235942317
"55-64",2005,24319,1.8376907443767
"55-64",2006,21978,1.71489444751651
"55-64",2007,20848,1.66767013610889
"55-64",2008,19333,1.63656119324355
"55-64",2009,19331,1.64445259367916
"55-64",2010,18539,1.61953615826761
"55-64",2011,17802,1.60282415089228
"55-64",2012,17283,1.58060939967078
"55-64",2013,21799,1.75324809951624
"55-64",2014,17762,1.61201846874785
"55-64",2015,20310,1.6751545774882
"55-64",2016,18269,1.57442460067916
"55-64",2017,20162,1.65463164388454
"55-64",2018,20714,1.66452792659844
"55-64",2019,20637,1.63561044720956
"65+",1947,4066,1.73499638467101
"65+",1948,3802,1.69430241051863
"65+",1949,4706,1.96891085031913
"65+",1950,4230,1.85696920583468
"65+",1951,4066,1.88046773495019
"65+",1952,5017,1.90674136996205
