"Age","Year","Sex","Num_thousands","median_current","median_2019","diff_real","rate_real","norm_first","norm_last"
"15+",1952,"Female",27150,1147,9704,701,0.0778629345773631,95.0347664283616,32.9989458292243
"15+",1953,"Female",27379,1166,9799,95,0.00978977741137675,95.9651356380374,33.3219981637025
"15+",1954,"Female",27715,1160,9662,-137,-0.0139810184712726,94.6234453040838,32.8561226918761
"15+",1955,"Female",29791,1120,9371,-291,-0.0301179879942041,91.7735775144452,31.8665623831061
"15+",1956,"Female",31823,1149,9466,95,0.0101376587343933,92.703946724121,32.1896147175842
"15+",1957,"Female",32702,1200,9572,106,0.0111979716881471,93.7420428949172,32.5500731118441
"15+",1958,"Female",33340,1176,9129,-443,-0.0462808190555788,89.4035843697973,31.043629067909
"15+",1959,"Female",34380,1223,9416,287,0.0314382736334757,92.2142787190285,32.019587173122
"15+",1960,"Female",36526,1261,9553,137,0.0145497026338148,93.5559690529821,32.4854626449485
"15+",1961,"Female",38076,1279,9592,39,0.0040824871768031,93.9379100969543,32.618084129629
"15+",1962,"Female",38988,1342,9966,374,0.0389908256880734,97.6006267750465,33.8898901622063
"15+",1963,"Female",40364,1372,10050,84,0.00842865743527995,98.423269023602,34.1755364369028
"15+",1964,"Female",41704,1449,10471,421,0.0418905472636816,102.546273626481,35.6071683612745
"15+",1965,"Female",42160,1521,10825,354,0.0338076592493554,106.013123102536,36.8109633760669
"15+",1966,"Female",44065,1638,11337,512,0.04729792147806,111.027323474684,38.5520454313599
"15+",1967,"Female",46843,1801,12087,750,0.0661550674781688,118.372343551072,41.1024585982929
"15+",1968,"Female",48544,2019,13039,952,0.0787623066104079,127.695622368034,44.3397830448533
"15+",1969,"Female",50224,2132,13181,142,0.010890405705959,129.086279502497,44.8226612711259
"15+",1970,"Female",51647,2237,13180,-1,-7.5866777937941e-05,129.076486142395,44.8192607202367
"15+",1971,"Female",52603,2408,13592,412,0.0312594840667678,133.111350504358,46.2202876866052
"15+",1972,"Female",54487,2599,14243,651,0.0478958210712184,139.486827930663,48.4340463155031
"15+",1973,"Female",57029,2796,14420,177,0.0124271572000281,141.220252668691,49.0359438228993
"15+",1974,"Female",59642,3082,14450,30,0.00208044382801664,141.514053471746,49.1379603495766
"15+",1975,"Female",60807,3385,14666,216,0.0149480968858131,143.629419253746,49.8724793416533
"15+",1976,"Female",63170,3576,14650,-16,-0.00109095867994,143.472725492116,49.8180705274254
"15+",1977,"Female",65407,3941,15187,537,0.0366552901023891,148.73175986681,51.6441663549495
"15+",1978,"Female",71864,4068,14671,-516,-0.0339764272074801,143.678386054255,49.8894820960996
"15+",1979,"Female",79921,4352,14335,-336,-0.0229023243132711,140.387817060033,48.7468969973136
"15+",1980,"Female",80826,4920,14574,239,0.0166724799441925,142.728430124376,49.5596286598429
"15+",1981,"Female",82139,5458,14773,199,0.0136544531357211,144.677308784644,50.2363382868025
"15+",1982,"Female",82505,5887,15027,254,0.0171935287348541,147.164822250514,51.1000782126705
"15+",1983,"Female",83830,6319,15469,442,0.0294137219671258,151.493487415532,52.6031217057163
"15+",1984,"Female",85555,6868,16141,672,0.0434417221539854,158.074625403976,54.8882919032883
"15+",1985,"Female",86531,7217,16398,257,0.0159221857381823,160.591518950152,55.7622334818241
"15+",1986,"Female",87822,7610,16994,596,0.0363458958409562,166.428361570855,57.7889618118135
"15+",1987,"Female",89661,8295,17907,913,0.0537248440626103,175.369699343845,60.8936647736933
"15+",1988,"Female",90593,8884,18510,603,0.0336739822415815,181.275095485261,62.9441969599075
"15+",1989,"Female",91399,9624,19212,702,0.0379254457050243,188.15003427676,65.3313836841568
"15+",1990,"Female",92245,10070,19158,-54,-0.0028107432854466,187.62119283126,65.1477539361376
"15+",1991,"Female",92569,10476,19231,73,0.00381041862407349,188.336108118696,65.3959941510525
"15+",1992,"Female",93517,10714,19190,-41,-0.002131974416307,187.93458035452,65.2565715645935
"15+",1993,"Female",94417,11046,19298,108,0.00562793121417405,188.99226324552,65.6238310606318
"15+",1994,"Female",95147,11466,19622,324,0.0167893045911493,192.165311918519,66.7256095487469
"15+",1995,"Female",96007,12130,20271,649,0.0330751197635307,198.52120262462,68.9325670758663
"15+",1996,"Female",96558,12815,20860,589,0.0290562873069903,204.289491724611,70.935491549631
"15+",1997,"Female",97447,13703,21833,973,0.0466442953020134,213.818431103712,74.2442275648655
"15+",1998,"Female",98694,14430,22684,851,0.0389776943159438,222.152580550387,77.1380963716122
"15+",1999,"Female",101036,15304,23557,873,0.0384852759654382,230.702183919303,80.1067772979223
"15+",2000,"Female",101704,16063,23913,356,0.0151122808507026,234.188620115562,81.3173734144931
"15+",2001,"Female",101941,16614,24049,136,0.0056872830677874,235.520517089413,81.7798483354303
"15+",2002,"Female",102487,16812,23958,-91,-0.0037839411202129,234.629321320145,81.4703982045091
"15+",2003,"Female",102713,17259,24049,91,0.00379831371566909,235.520517089413,81.7798483354303
"15+",2004,"Female",103384,17667,23970,-79,-0.00328495987359142,234.746841641367,81.5112048151801
"15+",2005,"Female",104245,18576,24377,407,0.016979557780559,238.732739202821,82.8952290271024
"15+",2006,"Female",104582,20014,25440,1063,0.0436066784263855,249.143080991088,86.5100146223688
"15+",2007,"Female",105230,20922,25861,421,0.0165487421383648,253.266085593967,87.9416465467406
"15+",2008,"Female",106403,20867,24839,-1022,-0.0395189667839604,243.257271569876,84.4662835379331
"15+",2009,"Female",106229,20957,25033,194,0.00781029832118845,245.157183429635,85.1259904104465
"15+",2010,"Female",107220,20775,24413,-620,-0.024767307154556,239.085300166487,83.0176488591152
"15+",2011,"Female",108332,21102,24039,-374,-0.0153197067136362,235.422583488395,81.7458428265379
"15+",2012,"Female",109383,21520,24007,-32,-0.00133117018178793,235.109195965136,81.6370251980821
"15+",2013,"Female",112066,22126,24322,315,0.0131211729912109,238.194104397219,82.708198728194
"15+",2014,"Female",112599,22240,24041,-281,-0.0115533262067264,235.442170208599,81.7526439283164
"15+",2015,"Female",114440,23769,25649,1608,0.0668857368661869,251.189893252375,87.2207297582208
"15+",2016,"Female",115371,24892,26519,870,0.0339194510507232,259.710116540985,90.1792090318632
"15+",2017,"Female",116618,25486,26580,61,0.00230023756551906,260.307511507198,90.3866426361071
"15+",2018,"Female",116920,27079,27570,990,0.0372460496613995,270.002938008031,93.7531880164587
"15+",2019,"Female",118731,29407,29407,1837,0.0666303953572724,287.993340515131,100
"15-24",1974,"Female",14331,1772,8308,NA,NA,100,66.2044784444976
"15-24",1975,"Female",14277,1884,8163,-145,-0.0174530572941743,98.2546942705826,65.0490078890748
"15-24",1976,"Female",14824,2008,8226,63,0.00771775082690187,99.0129995185363,65.5510399234999
"15-24",1977,"Female",15179,2289,8821,595,0.0723316314125942,106.174771304766,70.2924535819587
"15-24",1978,"Female",16067,2582,9312,491,0.0556626232853418,112.084737602311,74.2051159454937
"15-24",1979,"Female",16772,2823,9299,-13,-0.00139604810996564,111.928261916225,74.1015220336282
"15-24",1980,"Female",16376,3124,9254,-45,-0.00483923002473384,111.386615310544,73.7429277233246
"15-24",1981,"Female",16113,1996,5403,-3851,-0.416144370002161,65.0337024554646,43.0552235237868
"15-24",1982,"Female",15541,3352,8556,3153,0.583564686285397,102.985074626866,68.180731532393
"15-24",1983,"Female",15174,3457,8463,-93,-0.0108695652173913,101.865671641791,67.4396366244322
"15-24",1984,"Female",15207,3609,8482,19,0.00224506676119579,102.094366875301,67.5910431110049
"15-24",1985,"Female",14940,3791,8614,132,0.0155623673661872,103.683196918633,68.6429197545621
"15-24",1986,"Female",14742,4044,9031,417,0.0484095658230787,108.702455464612,71.9658936967089
"15-24",1987,"Female",14859,4408,9516,485,0.05370390875872,114.540202214733,75.8307434855367
"15-24",1988,"Female",14510,4485,9345,-171,-0.0179697351828499,112.481945113144,74.468085106383
"15-24",1989,"Female",14115,4739,9460,115,0.0123060460139112,113.866153105441,75.38449278827
"15-24",1990,"Female",13749,4902,9326,-134,-0.0141649048625793,112.253249879634,74.3166786198103
"15-24",1991,"Female",13186,5197,9540,214,0.0229466009007077,114.829080404429,76.0219937843653
"15-24",1992,"Female",13664,5170,9260,-280,-0.0293501048218029,111.458834857968,73.7907402980317
"15-24",1993,"Female",13519,5351,9349,89,0.00961123110151188,112.530091478093,74.4999601561877
"15-24",1994,"Female",13318,5508,9426,77,0.00823617499197775,113.45690900337,75.1135548649295
"15-24",1995,"Female",13550,5310,8874,-552,-0.0585614258434118,106.812710640347,70.7147979918719
"15-24",1996,"Female",13502,5881,9573,699,0.0787694388100068,115.226287915262,76.2849629452546
"15-24",1997,"Female",13626,6342,10105,532,0.0555729656325081,121.629754453539,80.5243445692884
"15-24",1998,"Female",13875,6534,10272,167,0.0165264720435428,123.639865190178,81.8551278986373
"15-24",1999,"Female",13806,6678,10279,7,0.000681464174454829,123.72412132884,81.9109092357957
"15-24",2000,"Female",14085,7360,10957,678,0.065959723708532,131.884930187771,87.3137301777034
"15-24",2001,"Female",13865,7467,10809,-148,-0.0135073469015241,130.103514684641,86.1343533349271
"15-24",2002,"Female",13584,7582,10805,-4,-0.000370061985382552,130.055368319692,86.1024782851223
"15-24",2003,"Female",13594,7435,10360,-445,-0.041184636742249,124.699085219066,82.5563789943422
"15-24",2004,"Female",13590,7703,10451,91,0.00878378378378378,125.794415021666,83.2815363774006
"15-24",2005,"Female",13484,8220,10787,336,0.0321500334896182,129.838709677419,85.9590405610009
"15-24",2006,"Female",13267,8653,10999,212,0.019653286363215,132.39046701974,87.6484182006534
"15-24",2007,"Female",13155,8959,11074,75,0.00681880170924629,133.293211362542,88.2460753844928
"15-24",2008,"Female",13260,8901,10595,-479,-0.0432544699295647,127.527684159846,84.4290381703721
"15-24",2009,"Female",12804,8950,10691,96,0.00906087777253421,128.683196918633,85.1940393656865
"15-24",2010,"Female",12541,8697,10220,-471,-0.0440557478252736,123.013962445835,81.4407522511754
"15-24",2011,"Female",12927,9107,10375,155,0.0151663405088063,124.879634087626,82.67591043111
"15-24",2012,"Female",13127,9581,10688,313,0.0301686746987952,128.647087144921,85.1701330783329
"15-24",2013,"Female",13395,9140,10047,-641,-0.0599738023952096,120.931632161772,80.0621563471193
"15-24",2014,"Female",13407,9501,10270,223,0.0221956803025779,123.615792007703,81.839190373735
"15-24",2015,"Female",13434,10342,11160,890,0.0866601752677702,134.328358208955,88.9313889552952
"15-24",2016,"Female",13465,10789,11494,334,0.0299283154121864,138.348579682234,91.5929556139931
"15-24",2017,"Female",13266,11185,11665,171,0.0148773273012006,140.406836783823,92.9556139931469
"15-24",2018,"Female",13187,12971,13206,1541,0.132104586369481,158.955223880597,105.235476930433
"15-24",2019,"Female",13144,12549,12549,-657,-0.0497501135847342,151.04718343765,100
"25-34",1947,"Female",4266,1215,12199,NA,NA,100,34.3720943337748
"25-34",1948,"Female",4644,1349,12541,342,0.0280350848430199,102.803508484302,35.3357189146544
"25-34",1949,"Female",4863,1322,12443,-98,-0.00781436887010605,102.000163947865,35.0595925727649
"25-34",1950,"Female",5083,1355,12596,153,0.0122960700795628,103.254365111894,35.4906877800006
"25-34",1951,"Female",5075,1623,13983,1387,0.110114322006986,114.624149520453,39.398720802457
"25-34",1952,"Female",5231,1578,13351,-632,-0.0451977401129944,109.443396999754,37.6179876588431
"25-34",1953,"Female",5304,1643,13808,457,0.0342296457194218,113.189605705386,38.9056380490829
"25-34",1954,"Female",5061,1583,13186,-622,-0.0450463499420626,108.090827116977,37.1530810628047
"25-34",1955,"Female",5263,1601,13395,209,0.015850144092219,109.804082301828,37.74196275112
"25-34",1956,"Female",5545,1574,12967,-428,-0.0319522209779769,106.295597999836,36.5360232171536
"25-34",1957,"Female",5395,1717,13696,729,0.0562196344566978,112.271497663743,38.5900650869234
"25-34",1958,"Female",5221,1671,12972,-724,-0.0528621495327103,106.336584965981,36.5501112958215
"25-34",1959,"Female",5254,1727,13297,325,0.0250539623805119,109.000737765391,37.4658364092305
"25-34",1960,"Female",5557,1755,13295,-2,-0.000150409866887268,108.984342978933,37.4602011777634
"25-34",1961,"Female",5658,1861,13958,663,0.0498683715682587,114.419214689729,39.3282804091178
"25-34",1962,"Female",5602,1774,13174,-784,-0.0561685055165497,107.992458398229,37.1192696740019
"25-34",1963,"Female",5636,1856,13595,421,0.0319568847730378,111.443560947619,38.3054858978333
"25-34",1964,"Female",5832,2036,14713,1118,0.0822361162191982,120.608246577588,41.4555802879603
"25-34",1965,"Female",5770,2257,16064,1351,0.0918235573982193,131.682924829904,45.2621791440083
"25-34",1966,"Female",6156,2350,16264,200,0.0124501992031873,133.322403475695,45.8257022907216
"25-34",1967,"Female",6762,2616,17557,1293,0.0795007378258731,143.921632920731,49.4688794342228
"25-34",1968,"Female",7272,2881,18605,1048,0.0596912912228741,152.512501024674,52.4217407230002
"25-34",1969,"Female",7462,3000,18547,-58,-0.00311744154797098,152.037052217395,52.2583190104534
"25-34",1970,"Female",7931,3225,19002,455,0.0245322693697094,155.766866136569,53.540334169226
